#TYPE System.Data.DataRow
"CustomerId","Firstname","LastName","CompanyName","SalesPerson"
"1","Orlando","Gee","A Bike Store","adventure-works\pamela0"
"2","Keith","Harris","Progressive Sports","adventure-works\david8"
"3","Donna","Carreras","Advanced Bike Components","adventure-works\jillian0"
"4","Janet","Gates","Modular Cycle Systems","adventure-works\jillian0"
"5","Lucy","Harrington","Metropolitan Sports Supply","adventure-works\shu0"
"6","Rosmarie","Carroll","Aerobic Exercise Company","adventure-works\linda3"
"7","Dominic","Gash","Associated Bikes","adventure-works\shu0"
"10","Kathleen","Garza","Rural Cycle Emporium","adventure-works\josé1"
"11","Katherine","Harding","Sharp Bikes","adventure-works\josé1"
"12","Johnny","Caprio","Bikes and Motorbikes","adventure-works\garrett1"
"16","Christopher","Beck","Bulk Discount Store","adventure-works\jae0"
"18","David","Liu","Catalog Store","adventure-works\michael9"
"19","John","Beaver","Center Cycle Shop","adventure-works\pamela0"
"20","Jean","Handley","Central Discount Store","adventure-works\david8"
"21","Jinghao","Liu","Chic Department Stores","adventure-works\jillian0"
"22","Linda","Burnett","Travel Systems","adventure-works\jillian0"
"23","Kerim","Hanif","Bike World","adventure-works\shu0"
"24","Kevin","Liu","Eastside Department Store","adventure-works\linda3"
"25","Donald","Blanton","Coalition Bike Company","adventure-works\shu0"
"28","Jackie","Blackwell","Commuter Bicycle Store","adventure-works\josé1"
"29","Bryan","Hamilton","Cross-Country Riding Supplies","adventure-works\josé1"
"30","Todd","Logan","Cycle Merchants","adventure-works\garrett1"
"34","Barbara","German","Cycles Wholesaler & Mfg.","adventure-works\jae0"
"37","Jim","Geist","Two Bike Shops","adventure-works\pamela0"
"38","Betty","Haines","Finer Mart","adventure-works\david8"
"39","Sharon","Looney","Fitness Hotel","adventure-works\jillian0"
"40","Darren","Gehring","Journey Sporting Goods","adventure-works\jillian0"
"41","Erin","Hagens","Distant Inn","adventure-works\shu0"
"42","Jeremy","Los","Healthy Activity Store","adventure-works\linda3"
"43","Elsa","Leavitt","Frugal Bike Shop","adventure-works\shu0"
